scan_id,broker,pair,rate_type,qty,buy,sell
000000025,Cinkciarz,USDPLN,unit price,1,44987,45361
000000025,Cinkciarz,NOKPLN,unit price,1,4501,4563
000000026,InternetowyKantor,EURPLN,unit price,1,46718,47018
000000026,InternetowyKantor,CHFPLN,unit price,1,47746,48146
000000026,InternetowyKantor,USDPLN,unit price,1,45045,45345
000000026,InternetowyKantor,GBPPLN,unit price,1,53510,53910
000000026,InternetowyKantor,NOKPLN,unit price,1,4504,4564
000000026,Cinkciarz,CHFPLN,50K price,1,47693,47951
000000026,Cinkciarz,EURPLN,50K price,1,46715,46979
000000026,Cinkciarz,GBPPLN,50K price,1,53545,53837
000000026,Cinkciarz,USDPLN,50K price,1,45042,45300
000000026,Cinkciarz,NOKPLN,50K price,1,4502,4564
000000026,Cinkciarz,CHFPLN,unit price,1,47627,48018
000000026,Cinkciarz,EURPLN,unit price,1,46654,47043
000000026,Cinkciarz,GBPPLN,unit price,1,53483,53900
000000026,Cinkciarz,USDPLN,unit price,1,44986,45359
000000026,Cinkciarz,NOKPLN,unit price,1,4501,4563
000000027,InternetowyKantor,EURPLN,unit price,1,46720,47020
000000027,InternetowyKantor,CHFPLN,unit price,1,47747,48147
000000027,InternetowyKantor,USDPLN,unit price,1,45039,45340
000000027,InternetowyKantor,GBPPLN,unit price,1,53522,53923
000000027,InternetowyKantor,NOKPLN,unit price,1,4506,4566
000000027,Cinkciarz,CHFPLN,50K price,1,47695,47953
000000027,Cinkciarz,EURPLN,50K price,1,46719,46984
000000027,Cinkciarz,GBPPLN,50K price,1,53557,53850
000000027,Cinkciarz,USDPLN,50K price,1,45041,45298
000000027,Cinkciarz,NOKPLN,50K price,1,4503,4565
000000027,Cinkciarz,CHFPLN,unit price,1,47630,48019
000000027,Cinkciarz,EURPLN,unit price,1,46656,47045
000000027,Cinkciarz,GBPPLN,unit price,1,53494,53911
000000027,Cinkciarz,USDPLN,unit price,1,44981,45355
000000027,Cinkciarz,NOKPLN,unit price,1,4503,4565
000000028,InternetowyKantor,EURPLN,unit price,1,46720,47020
000000028,InternetowyKantor,CHFPLN,unit price,1,47742,48141
000000028,InternetowyKantor,USDPLN,unit price,1,45053,45353
000000028,InternetowyKantor,GBPPLN,unit price,1,53509,53909
000000028,InternetowyKantor,NOKPLN,unit price,1,4506,4566
000000028,Cinkciarz,CHFPLN,50K price,1,47687,47950
000000028,Cinkciarz,EURPLN,50K price,1,46715,46979
000000028,Cinkciarz,GBPPLN,50K price,1,53549,53841
000000028,Cinkciarz,USDPLN,50K price,1,45054,45312
000000028,Cinkciarz,NOKPLN,50K price,1,4503,4565
000000028,Cinkciarz,CHFPLN,unit price,1,47623,48011
000000028,Cinkciarz,EURPLN,unit price,1,46655,47044
000000028,Cinkciarz,GBPPLN,unit price,1,53468,53897
000000028,Cinkciarz,USDPLN,unit price,1,45007,45381
000000028,Cinkciarz,NOKPLN,unit price,1,4503,4564
000000029,InternetowyKantor,EURPLN,unit price,1,46723,47023
000000029,InternetowyKantor,CHFPLN,unit price,1,47744,48144
000000029,InternetowyKantor,USDPLN,unit price,1,45086,45386
000000029,InternetowyKantor,GBPPLN,unit price,1,53480,53881
000000029,InternetowyKantor,NOKPLN,unit price,1,4506,4566
000000029,Cinkciarz,CHFPLN,50K price,1,47691,47946
000000029,Cinkciarz,EURPLN,50K price,1,46722,46987
000000029,Cinkciarz,GBPPLN,50K price,1,53516,53808
000000029,Cinkciarz,USDPLN,50K price,1,45083,45340
